day	hour	value
1	7	3
1	8	8
1	9	15
1	10	15
1	11	17
1	12	12
1	13	10
1	14	10
1	15	17
1	16	9
1	17	1
1	18	2
1	19	1
1	20	2
2	6	3
2	7	14
2	8	58
2	9	18
2	10	2
2	11	1
2	12	3
2	13	3
2	14	1
2	15	2
2	16	19
2	17	35
2	18	32
2	19	2
2	20	1
3	6	1
3	7	21
3	8	47
3	9	12
3	10	3
3	12	2
3	13	2
3	14	2
3	15	3
3	16	11
3	17	35
3	18	25
3	19	5
3	22	1
4	7	9
4	8	65
4	9	25
4	10	3
4	11	1
4	12	3
4	13	1
4	14	1
4	15	4
4	16	21
4	17	36
4	18	29
4	19	9
4	20	1
4	21	1
5	5	1
5	7	15
5	8	36
5	9	16
5	11	2
5	12	10
5	13	5
5	14	1
5	15	3
5	16	16
5	17	25
5	18	20
5	19	6
5	20	1
6	6	1
6	7	8
6	8	43
6	9	22
6	10	3
6	11	3
6	12	4
6	13	6
6	14	2
6	15	14
6	16	18
6	17	23
6	18	7
7	1	2
7	3	1
7	4	2
7	5	2
7	6	4
7	7	3
7	8	16
7	9	15
7	10	13
7	11	12
7	12	7
7	13	8
7	14	5
7	15	11
7	16	6
7	17	6
7	18	2
7	19	1
7	20	2
