date,distance
Thu Nov 16 2017,42.800000000000004
Fri Nov 17 2017,5.995
Sat Nov 18 2017,55.507
Sun Nov 19 2017,25.598
Mon Nov 20 2017,19.007
Tue Nov 21 2017,8.172
Thu Nov 23 2017,3.185
Fri Nov 24 2017,6.49
Sat Nov 25 2017,51.097
Sun Nov 26 2017,28.541
Mon Nov 27 2017,18.673
Wed Nov 29 2017,38.516000000000005
Thu Nov 30 2017,39.135
Sat Dec 02 2017,201.025
Sun Dec 03 2017,27.982
Wed Dec 06 2017,37.885999999999996
Thu Dec 07 2017,39.667
Fri Dec 08 2017,5.969
Sun Dec 10 2017,7.912
Mon Dec 11 2017,44.30499999999999
Tue Dec 12 2017,44.55
